"time","power"
2024-01-11 08:19:31,199
2024-01-11 08:19:41,198
2024-01-11 08:19:47,199
2024-01-11 08:19:52,199
2024-01-11 08:20:08,197
2024-01-11 08:20:18,200
2024-01-11 08:20:24,198
2024-01-11 08:20:29,199
2024-01-11 08:20:34,198
2024-01-11 08:20:39,201
2024-01-11 08:20:45,201
2024-01-11 08:20:55,199
2024-01-11 08:21:01,200
2024-01-11 08:21:06,199
2024-01-11 08:21:11,198
2024-01-11 08:21:17,199
2024-01-11 08:21:22,200
2024-01-11 08:21:32,195
2024-01-11 08:21:38,199
2024-01-11 08:21:43,198
2024-01-11 08:21:48,200
2024-01-11 08:21:53,199
2024-01-11 08:22:09,198
2024-01-11 08:22:15,199
2024-01-11 08:22:25,198
2024-01-11 08:22:31,199
2024-01-11 08:22:36,199
2024-01-11 08:22:46,197
2024-01-11 08:22:52,196
2024-01-11 08:22:57,198
2024-01-11 08:23:02,196
2024-01-11 08:23:07,198
2024-01-11 08:23:23,199
2024-01-11 08:23:29,195
2024-01-11 08:23:34,198
2024-01-11 08:23:39,200
2024-01-11 08:23:45,198
2024-01-11 08:23:50,198
2024-01-11 08:24:01,203
2024-01-11 08:24:06,352
2024-01-11 08:24:11,355
2024-01-11 08:24:16,354
2024-01-11 08:24:22,356
2024-01-11 08:24:27,357
2024-01-11 08:24:37,362
2024-01-11 08:24:43,354
2024-01-11 08:24:48,362
2024-01-11 08:24:53,351
2024-01-11 08:24:59,356
2024-01-11 08:25:04,357
2024-01-11 08:25:14,361
2024-01-11 08:25:20,359
2024-01-11 08:25:25,347
2024-01-11 08:25:30,358
2024-01-11 08:25:35,360
2024-01-11 08:25:41,357
2024-01-11 08:25:51,356
2024-01-11 08:25:57,360
2024-01-11 08:26:02,360
2024-01-11 08:26:07,353
2024-01-11 08:26:13,361
2024-01-11 08:26:18,358
2024-01-11 08:26:28,362
2024-01-11 08:26:34,357
2024-01-11 08:26:39,361
2024-01-11 08:26:44,357
2024-01-11 08:26:49,361
2024-01-11 08:26:55,355
2024-01-11 08:27:06,358
2024-01-11 08:27:11,357
2024-01-11 08:27:16,363
2024-01-11 08:27:21,356
2024-01-11 08:27:27,362
2024-01-11 08:27:32,354
2024-01-11 08:27:43,355
2024-01-11 08:27:48,361
2024-01-11 08:27:53,356
2024-01-11 08:27:58,354
2024-01-11 08:28:03,356
2024-01-11 08:28:09,357
2024-01-11 08:28:20,359
2024-01-11 08:28:25,353
2024-01-11 08:28:30,358
2024-01-11 08:28:35,356
2024-01-11 08:28:41,361
2024-01-11 08:28:46,355
2024-01-11 08:28:57,358
2024-01-11 08:29:02,357
2024-01-11 08:29:07,358
2024-01-11 08:29:12,356
2024-01-11 08:29:17,362
2024-01-11 08:29:23,322
2024-01-11 08:29:34,10
2024-01-11 08:29:39,10
2024-01-11 08:29:49,11
2024-01-11 08:29:55,10
2024-01-11 08:30:11,11
2024-01-11 08:30:26,12
2024-01-11 08:30:31,10
2024-01-11 08:30:48,12
2024-01-11 08:30:53,10
2024-01-11 08:30:58,12
2024-01-11 08:31:03,10
2024-01-11 08:31:30,11
2024-01-11 08:31:40,10
2024-01-11 08:31:51,11
2024-01-11 08:32:07,10
2024-01-11 08:32:23,11
2024-01-11 08:32:28,10
2024-01-11 08:32:44,11
2024-01-11 08:32:49,10
2024-01-11 08:32:54,12
2024-01-11 08:32:59,11
2024-01-11 08:33:05,11
2024-01-11 08:33:16,11
2024-01-11 08:33:21,10
2024-01-11 08:33:26,11
2024-01-11 08:33:42,10
2024-01-11 08:34:03,12
2024-01-11 08:34:08,10
2024-01-11 08:34:14,11
2024-01-11 08:34:30,10
2024-01-11 08:34:35,11
